accountId,userId
211582519,88393961
211582542,88393984
211582555,88393997
211582568,88394010
211582583,88394025
211582591,88394033
211582598,88394040
211582608,88394050
211582619,88394061
211582633,88394075
211582642,88394084
211582654,88394096
211582666,88394108
211582673,88394115
211582679,88394121
211582693,88394135
211582706,88394148
211582710,88394152
211582718,88394160
211582736,88394178
211582743,88394185
211582753,88394195
211582758,88394200
211582766,88394208
211582773,88394215
211582780,88394222
211582791,88394233
211582802,88394244
211582810,88394252
211582813,88394255
211582816,88394258
211582823,88394265
211582831,88394273
211582838,88394280
211582842,88394284
211582847,88394289
211582851,88394293
211582853,88394295
211582856,88394298
211582859,88394301
211582862,88394304
211582865,88394307
211582866,88394308
211582870,88394312
211582871,88394313
211582873,88394315
211582876,88394318
211582881,88394323
211582887,88394329
211582892,88394334
211582895,88394337
211582899,88394341
211582902,88394344
211582905,88394347
211582907,88394349
211582910,88394352
211582914,88394356
211582919,88394361
211582923,88394365
211582926,88394368
211582930,88394372
211582935,88394377
211582936,88394378
211582938,88394380
211582939,88394381
211582940,88394382
211582946,88394388
211582948,88394390
211582954,88394396
211582963,88394405
211582972,88394414
211582981,88394423
211582990,88394432
211583000,88394442
211583008,88394450
211583015,88394457
211583020,88394462
211583030,88394472
211583039,88394481
211583046,88394488
211583055,88394497
211583062,88394504
211583069,88394511
211583079,88394521
211583086,88394528
211583093,88394535
211583103,88394545
211583108,88394550
211583113,88394555
211583127,88394569
211583144,88394586
211583161,88394603
211583179,88394621
211583195,88394637
211583212,88394654
211583230,88394672
211583246,88394688
211583264,88394706
211583278,88394720
211583292,88394734
211583296,88394738
211583300,88394742
211583304,88394746
211583305,88394747
211583308,88394750
211583309,88394751
211583311,88394753
211583313,88394755
211583317,88394759
211583320,88394762
211583325,88394767
211583328,88394770
211583331,88394773
211583335,88394777
211583338,88394780
211583342,88394784
211583348,88394790
211583351,88394793
211583354,88394796
211583358,88394800
211583362,88394804
211583364,88394806
211583369,88394811
211583373,88394815
211583377,88394819
211583381,88394823
211583384,88394826
211583387,88394829
211583389,88394831
211583393,88394835
211583399,88394841
211583402,88394844
211583407,88394849
211583410,88394852
211583413,88394855
211583415,88394857
211583418,88394860
211583422,88394864
211583430,88394872
211583435,88394877
211583444,88394886
211583449,88394891
211583451,88394893
211583456,88394898
211583458,88394900
211583459,88394901
211583460,88394902
211583463,88394905
211583464,88394906
211583472,88394914
211583476,88394918
211583477,88394919
211583481,88394923
211583482,88394924
211583483,88394925
211583485,88394927
211583487,88394929
211583491,88394933
211583492,88394934
211583493,88394935
211583495,88394937
211583497,88394939
211583499,88394941
211583500,88394942
211583502,88394944
211583504,88394946
211583505,88394947
211583508,88394950
211583510,88394952
211583511,88394953
211583513,88394955
211583515,88394957
211583516,88394958
211583517,88394959
211583518,88394960
211583521,88394963
211583523,88394965
211583524,88394966
211583525,88394967
211583526,88394968
211583527,88394969
211583529,88394971
211583530,88394972
211583531,88394973
211583532,88394974
211583533,88394975
211583556,88394998
211583575,88395017
211583597,88395039
